birth,life,deltactcf,clife,cof,sep,face,peaktotal
0.0075,50,10,17.0,1.7,74,1.0,5416209
0.0075,50,1500,17.0,1.7,100,1.0,3682065
0.0075,50,1500,17.0,1.7,74,1.0,4578894
0.0075,50,200,17.0,1.7,100,1.0,4054317
0.0075,50,200,17.0,1.7,74,1.0,5210929
0.0075,50,20,17.0,1.7,100,1.0,4162322
0.0075,50,20,17.0,1.7,74,1.0,5304260
0.0075,50,3000,17.0,1.7,100,1.0,3573429
0.0075,50,3000,17.0,1.7,74,1.0,4585003
0.0075,50,400,17.0,1.7,100,1.0,3916302
0.0075,50,400,17.0,1.7,74,1.0,4819411
0.0075,50,40,17.0,1.7,100,1.0,4091037
0.0075,50,40,17.0,1.7,74,1.0,5267299
0.0075,50,4,17.0,1.7,100,1.0,4185065
0.0075,50,4,17.0,1.7,74,1.0,5427243
0.0075,50,5000,17.0,1.7,100,1.0,3555162
0.0075,50,5000,17.0,1.7,74,1.0,4581324
0.0075,50,8,17.0,1.7,100,1.0,4203538
0.0075,50,8,17.0,1.7,74,1.0,5328658
0.01,50,1000,17.0,1.7,100,1.0,3728433
0.01,50,1000,17.0,1.7,74,1.0,4717457
0.01,50,100,17.0,1.7,100,1.0,4205030
0.01,50,100,17.0,1.7,74,1.0,5483885
0.01,50,10,17.0,1.7,100,1.0,4273922
0.01,50,10,17.0,1.7,74,1.0,5527031
0.01,50,1500,17.0,1.7,100,1.0,3548494
0.01,50,1500,17.0,1.7,74,1.0,4520979
0.01,50,200,17.0,1.7,100,1.0,4169782
0.01,50,200,17.0,1.7,74,1.0,5245524
0.01,50,20,17.0,1.7,100,1.0,4431207
0.01,50,20,17.0,1.7,74,1.0,5640845
0.01,50,3000,17.0,1.7,100,1.0,3582802
0.01,50,3000,17.0,1.7,74,1.0,4617240
0.01,50,400,17.0,1.7,100,1.0,3937624
0.01,50,400,17.0,1.7,74,1.0,5161749
0.01,50,40,17.0,1.7,100,1.0,4348159
0.01,50,40,17.0,1.7,74,1.0,5609254
0.01,50,4,17.0,1.7,100,1.0,4402524
0.01,50,4,17.0,1.7,74,1.0,5673231
0.01,50,5000,17.0,1.7,100,1.0,3478559
0.01,50,5000,17.0,1.7,74,1.0,4528201
0.01,50,8,17.0,1.7,100,1.0,4330273
0.01,50,8,17.0,1.7,74,1.0,5583941
0.025,50,1000,17.0,1.7,100,1.0,4035327
0.025,50,1000,17.0,1.7,74,1.0,5142081
0.025,50,100,17.0,1.7,100,1.0,5294489
0.025,50,100,17.0,1.7,74,1.0,6917045
0.025,50,10,17.0,1.7,100,1.0,5486859
0.025,50,10,17.0,1.7,74,1.0,7154736
0.025,50,1500,17.0,1.7,100,1.0,3724999
0.025,50,1500,17.0,1.7,74,1.0,4839438
0.025,50,200,17.0,1.7,100,1.0,4968954
0.025,50,200,17.0,1.7,74,1.0,6437294
0.025,50,20,17.0,1.7,100,1.0,5528283
0.025,50,20,17.0,1.7,74,1.0,7183535
0.025,50,3000,17.0,1.7,100,1.0,3477276
0.025,50,3000,17.0,1.7,74,1.0,4484301
0.025,50,400,17.0,1.7,100,1.0,4654429
0.025,50,400,17.0,1.7,74,1.0,5982581
0.025,50,40,17.0,1.7,100,1.0,5296947
0.025,50,40,17.0,1.7,74,1.0,6922804
0.025,50,4,17.0,1.7,100,1.0,5646448
0.025,50,4,17.0,1.7,74,1.0,7167394
0.025,50,5000,17.0,1.7,100,1.0,3558973
0.025,50,5000,17.0,1.7,74,1.0,4488041
0.025,50,8,17.0,1.7,100,1.0,5595942
0.025,50,8,17.0,1.7,74,1.0,7208535
0.05,50,1000,17.0,1.7,100,1.0,4408495
0.05,50,1000,17.0,1.7,74,1.0,5910296
0.05,50,100,17.0,1.7,100,1.0,6896593
0.05,50,100,17.0,1.7,74,1.0,9652763
